No.,Chromosome ,start,end,DMR length (bp),No. CpGs in DMR,strand,pval,qval,Methylation difference (tumor/normal)* ,Genomic locus,Methylated in:
147,chr3,147136879,147137455,577,44,*,3.41507893954969E-06,8.18549877302153E-05,0.52170691399141,intergenic.NA,cADN and SSL specific markers
148,chr14,26673957,26674715,759,49,*,3.41507893954969E-06,8.18549877302153E-05,0.528789367383548,intergenic.NA,cADN and SSL specific markers
149,chr1,75600124,75601364,1241,74,*,3.41507893954969E-06,8.18549877302153E-05,0.511064425461707,promoter.LHX8/1to5kb.NA/5UTR.LHX8/exon.LHX8/intron.LHX8,cADN and SSL specific markers
150,chr4,156680120,156680568,449,44,*,3.41507893954969E-06,8.18549877302153E-05,0.690573739041069,promoter.GUCY1B1/CDS.GUCY1B1/5UTR.GUCY1B1/exon.GUCY1B1/intron.GUCY1B1,cADN and SSL specific markers
151,chr1,98510777,98511321,545,48,*,3.41507893954969E-06,8.18549877302153E-05,0.700333599698794,promoter.MIR2682/exon.MIR2682/intron.MIR137HG,cADN and SSL specific markers
152,chr18,73167403,73168023,621,73,*,3.41507893954969E-06,8.18549877302153E-05,0.633323607824555,intergenic.NA,cADN and SSL specific markers
153,chr20,37434893,37435371,479,48,*,3.41507893954969E-06,8.18549877302153E-05,0.649218205880303,intron.PPP1R16B,cADN and SSL specific markers
154,chr4,96470488,96471217,730,61,*,3.41507893954969E-06,8.18549877302153E-05,0.711278897264902,promoter.UNC5C,cADN and SSL specific markers
155,chr10,118031934,118032394,461,42,*,3.41507893954969E-06,8.18549877302153E-05,0.74254499378527,promoter.GFRA1/intron.GFRA1,cADN and SSL specific markers
156,chr15,48936867,48937443,577,63,*,3.41507893954969E-06,8.18549877302153E-05,0.597072030145833,CDS.FBN1/5UTR.FBN1/exon.FBN1/intron.FBN1,cADN and SSL specific markers
157,chr2,45231724,45232222,499,34,*,3.41507893954969E-06,8.18549877302153E-05,0.583706207683837,intergenic.NA,cADN and SSL specific markers
158,chr7,155164697,155165769,1073,90,*,3.41507893954969E-06,8.18549877302153E-05,0.597345180100495,intergenic.NA,cADN and SSL specific markers
159,chr21,27012066,27012417,352,33,*,3.41507893954969E-06,8.18549877302153E-05,0.66992479464466,CDS.JAM2/5UTR.JAM2/exon.JAM2/intron.JAM2,cADN and SSL specific markers
160,chr7,49815021,49815609,589,67,*,3.41507893954969E-06,8.18549877302153E-05,0.637579874225921,CDS.VWC2/5UTR.VWC2/exon.VWC2,cADN and SSL specific markers
161,chr8,75896622,75897380,759,63,*,3.41507893954969E-06,8.18549877302153E-05,0.635570295585556,promoter.CRISPLD1/5UTR.CRISPLD1/exon.CRISPLD1/intron.CRISPLD1,cADN and SSL specific markers
162,chr4,3769363,3769754,392,40,*,3.41507893954969E-06,8.18549877302153E-05,0.568749212435823,CDS.ADRA2C/exon.ADRA2C/3UTR.ADRA2C,cADN and SSL specific markers
163,chr16,77822307,77822860,554,56,*,3.41507893954969E-06,8.18549877302153E-05,0.690913218902984,promoter.VAT1L/CDS.VAT1L/5UTR.VAT1L/exon.VAT1L/intron.VAT1L,cADN and SSL specific markers
164,chr13,93880499,93881012,514,33,*,3.41507893954969E-06,8.18549877302153E-05,0.661944170149983,intron.GPC6,cADN and SSL specific markers
165,chr13,95363949,95364786,838,97,*,3.41507893954969E-06,8.18549877302153E-05,0.580135924093857,promoter.NA/promoter.SOX21/1to5kb.NA/CDS.SOX21/5UTR.SOX21/exon.SOX21,cADN and SSL specific markers
166,chr14,36986317,36987430,1114,117,*,3.41507893954969E-06,8.18549877302153E-05,0.544943039664611,1to5kb.NA/1to5kb.SFTA3/CDS.NKX2-1/exon.NKX2-1/intron.SFTA3/intron.NKX2-1/3UTR.NKX2-1,cADN and SSL specific markers
167,chr14,27066497,27066667,171,13,*,3.41507893954969E-06,8.18549877302153E-05,0.665005193062497,CDS.NOVA1/5UTR.NOVA1/exon.NOVA1/intron.NOVA1,cADN and SSL specific markers
168,chr3,184301096,184301349,254,26,*,3.41507893954969E-06,8.18549877302153E-05,0.513943902600065,intergenic.NA,cADN and SSL specific markers
169,chr1,119529872,119530259,388,34,*,3.41507893954969E-06,8.18549877302153E-05,0.60552767949444,intron.TBX15,cADN and SSL specific markers
170,chr20,21086044,21086430,387,28,*,3.41507893954969E-06,8.18549877302153E-05,0.605964423944651,intergenic.NA,cADN and SSL specific markers
171,chr4,85417550,85418085,536,35,*,3.41507893954969E-06,8.18549877302153E-05,0.556016653633372,intron.NKX6-1,cADN and SSL specific markers
172,chr11,31820163,31820786,624,32,*,3.41507893954969E-06,8.18549877302153E-05,0.548736085814908,intron.PAX6,cADN and SSL specific markers
173,chr7,155246902,155247282,381,36,*,3.41507893954969E-06,8.18549877302153E-05,0.657067642272294,1to5kb.EN2,cADN and SSL specific markers
174,chr4,62066367,62066819,453,57,*,3.41507893954969E-06,8.18549877302153E-05,0.607567592750684,promoter.ADGRL3,cADN and SSL specific markers
175,chr4,96470053,96470378,326,25,*,3.41507893954969E-06,8.18549877302153E-05,0.69970851183971,promoter.UNC5C/5UTR.UNC5C/exon.UNC5C,cADN and SSL specific markers
176,chr20,61637282,61637944,663,91,*,3.41507893954969E-06,8.18549877302153E-05,0.582649092351597,1to5kb.LINC01749/CDS.BHLHE23/exon.BHLHE23/3UTR.BHLHE23,cADN and SSL specific markers
177,chr1,86621831,86622438,608,33,*,3.41507893954969E-06,8.18549877302153E-05,0.550869101015343,promoter.COL24A1/CDS.COL24A1/5UTR.COL24A1/exon.COL24A1/intron.COL24A1,cADN and SSL specific markers
178,chr8,97173267,97173812,546,50,*,3.41507893954969E-06,8.18549877302153E-05,0.72085822009795,promoter.GDF6,cADN and SSL specific markers
179,chr11,132813332,132813960,629,78,*,3.41507893954969E-06,8.18549877302153E-05,0.534043910255657,promoter.OPCML/5UTR.OPCML/exon.OPCML/intron.OPCML,cADN and SSL specific markers
180,chr4,185940482,185940773,292,24,*,3.41507893954969E-06,8.18549877302153E-05,0.575501434670121,CDS.HELT/5UTR.HELT/exon.HELT/intron.HELT,cADN and SSL specific markers
181,chr8,67873343,67873927,585,75,*,3.41507893954969E-06,8.18549877302153E-05,0.627004745208604,CDS.TCF24/exon.TCF24/intron.TCF24,cADN and SSL specific markers
182,chr5,32712110,32712365,256,25,*,3.41507893954969E-06,8.18549877302153E-05,0.632154643944558,CDS.NPR3/exon.NPR3/intron.NPR3,cADN and SSL specific markers
183,chr18,67067597,67067958,362,32,*,3.41507893954969E-06,8.18549877302153E-05,0.774821515389907,promoter.DOK6,cADN and SSL specific markers
184,chr12,128751964,128752701,738,63,*,3.41507893954969E-06,8.18549877302153E-05,0.59803695825688,CDS.TMEM132C/exon.TMEM132C/intron.TMEM132C,cADN and SSL specific markers
185,chr18,70210785,70211020,236,37,*,3.41507893954969E-06,8.18549877302153E-05,0.754440086062873,promoter.CBLN2/5UTR.CBLN2/exon.CBLN2/intron.CBLN2,cADN and SSL specific markers
186,chr1,114695663,114695865,203,24,*,3.41507893954969E-06,8.18549877302153E-05,0.648020264532942,promoter.SYT6/intron.SYT6,cADN and SSL specific markers
187,chr11,24518045,24518520,476,38,*,3.41507893954969E-06,8.18549877302153E-05,0.567534630814458,promoter.LUZP2/5UTR.LUZP2/exon.LUZP2,cADN and SSL specific markers
188,chr14,62583810,62584666,857,58,*,3.41507893954969E-06,8.18549877302153E-05,0.590853157877151,promoter.LINC00643/exon.LINC00643/intron.LINC00643,cADN and SSL specific markers
189,chr9,140773012,140773178,167,18,*,3.41507893954969E-06,8.18549877302153E-05,0.776724561953036,intron.CACNA1B/intron.NA,cADN and SSL specific markers
190,chr5,136834049,136834573,525,64,*,3.41507893954969E-06,8.18549877302153E-05,0.621530475997516,promoter.SPOCK1/CDS.SPOCK1/5UTR.SPOCK1/exon.SPOCK1/intron.SPOCK1,cADN and SSL specific markers
191,chr2,115920437,115920894,458,30,*,3.41507893954969E-06,8.18549877302153E-05,0.652205591820601,1to5kb.DPP10-AS1/intron.DPP10,cADN and SSL specific markers
192,chr12,103351855,103352761,907,96,*,3.41507893954969E-06,8.18549877302153E-05,0.568897844405136,promoter.NA/CDS.ASCL1/CDS.NA/5UTR.ASCL1/exon.ASCL1/exon.NA/3UTR.ASCL1,cADN and SSL specific markers
193,chr13,93879246,93879843,598,48,*,3.41507893954969E-06,8.18549877302153E-05,0.680262890692429,CDS.GPC6/5UTR.GPC6/exon.GPC6,cADN and SSL specific markers
194,chr2,70994714,70995480,767,68,*,3.41507893954969E-06,8.18549877302153E-05,0.61672329575178,promoter.ADD2/CDS.ADD2/5UTR.ADD2/exon.ADD2/intron.ADD2,cADN and SSL specific markers
195,chr4,81187495,81188029,535,46,*,3.41507893954969E-06,8.18549877302153E-05,0.61855635264572,promoter.FGF5/CDS.FGF5/5UTR.FGF5/exon.FGF5,cADN and SSL specific markers
196,chr3,192126520,192127081,562,42,*,3.41507893954969E-06,8.18549877302153E-05,0.687196141457782,promoter.FGF12/5UTR.FGF12/exon.FGF12/intron.FGF12,cADN and SSL specific markers
197,chr5,180076427,180076588,162,26,*,3.41507893954969E-06,8.18549877302153E-05,0.61821002252672,CDS.FLT4/5UTR.FLT4/exon.FLT4/intron.FLT4,cADN and SSL specific markers
198,chr3,33260224,33260483,260,34,*,3.41507893954969E-06,8.18549877302153E-05,0.703226629932627,CDS.SUSD5/5UTR.SUSD5/exon.SUSD5,cADN and SSL specific markers
199,chr12,104851811,104852494,684,55,*,3.41507893954969E-06,8.18549877302153E-05,0.611531412492415,intron.CHST11,cADN and SSL specific markers
200,chr1,50882791,50883529,739,48,*,3.41507893954969E-06,8.18549877302153E-05,0.570317595510238,exon.DMRTA2/3UTR.DMRTA2/intergenic.NA,cADN and SSL specific markers
201,chr2,66660561,66660856,296,22,*,3.41507893954969E-06,8.18549877302153E-05,0.665724143162393,promoter.MEIS1-AS3/1to5kb.MEIS1/exon.MEIS1-AS3,cADN and SSL specific markers
202,chr8,145106127,145106383,257,31,*,3.41507893954969E-06,8.18549877302153E-05,0.645244657812005,CDS.OPLAH/exon.OPLAH/intron.OPLAH/3UTR.OPLAH/intergenic.NA,cADN and SSL specific markers
203,chr17,62775415,62775786,372,23,*,3.41507893954969E-06,8.18549877302153E-05,0.501925667896562,exon.ARHGAP27P1/exon.PLEKHM1P1/intron.ARHGAP27P1/intron.PLEKHM1P1/3UTR.ARHGAP27P1,cADN and SSL specific markers
204,chr17,72352791,72353642,852,111,*,3.41507893954969E-06,8.18549877302153E-05,0.545753534239867,CDS.BTBD17/exon.BTBD17/3UTR.BTBD17,cADN and SSL specific markers
205,chr2,176933132,176933510,379,31,*,3.41507893954969E-06,8.18549877302153E-05,0.572018646741782,intergenic.NA,cADN and SSL specific markers
206,chr17,46804123,46804414,292,24,*,3.41507893954969E-06,8.18549877302153E-05,0.601216705848005,1to5kb.PRAC1/1to5kb.MIR3185/CDS.HOXB13/exon.HOXB13/intron.HOXB13/3UTR.HOXB13,cADN and SSL specific markers
207,chr12,5019000,5019380,381,36,*,3.41507893954969E-06,8.18549877302153E-05,0.659337069753848,promoter.KCNA1/1to5kb.NA/5UTR.KCNA1/exon.KCNA1,cADN and SSL specific markers
208,chr1,91192360,91192893,534,39,*,3.41507893954969E-06,8.18549877302153E-05,0.552213820263388,intergenic.NA,cADN and SSL specific markers
209,chr2,105480161,105480813,653,54,*,3.41507893954969E-06,8.18549877302153E-05,0.542570604936008,intergenic.NA,cADN and SSL specific markers
210,chr6,6546341,6547273,933,74,*,3.41507893954969E-06,8.18549877302153E-05,0.551665421643326,intron.LY86-AS1,cADN and SSL specific markers
211,chr11,19367076,19368101,1026,75,*,3.41507893954969E-06,8.18549877302153E-05,0.500897710703105,1to5kb.NAV2/intergenic.NA,cADN and SSL specific markers
212,chr10,134901165,134901748,584,83,*,3.41507893954969E-06,8.18549877302153E-05,0.506544809618893,promoter.ADGRA1/5UTR.ADGRA1/exon.ADGRA1/intron.ADGRA1,cADN and SSL specific markers
213,chr6,41606282,41606869,588,54,*,3.41507893954969E-06,8.18549877302153E-05,0.641694092338303,CDS.MDFI/5UTR.MDFI/exon.MDFI/intron.MDFI,cADN and SSL specific markers
214,chr2,1746812,1747205,394,45,*,3.41507893954969E-06,8.18549877302153E-05,0.652735233390094,intron.PXDN,cADN and SSL specific markers
215,chr18,908034,908594,561,46,*,3.41507893954969E-06,8.18549877302153E-05,0.652636673428357,CDS.ADCYAP1/exon.ADCYAP1/intron.ADCYAP1,cADN and SSL specific markers
216,chr14,104928048,104928571,524,55,*,3.41507893954969E-06,8.18549877302153E-05,0.571942536744707,intergenic.NA,cADN and SSL specific markers
217,chr20,21490238,21490709,472,29,*,3.41507893954969E-06,8.18549877302153E-05,0.630839502192387,intergenic.NA,cADN and SSL specific markers
218,chr4,174449772,174450156,385,30,*,3.41507893954969E-06,8.18549877302153E-05,0.535342696630817,1to5kb.HAND2-AS1/CDS.HAND2/exon.HAND2/intron.HAND2,cADN and SSL specific markers
219,chr20,37434246,37434568,323,32,*,3.41507893954969E-06,8.18549877302153E-05,0.564378966302506,promoter.PPP1R16B/5UTR.PPP1R16B/exon.PPP1R16B/intron.PPP1R16B,cADN and SSL specific markers
220,chr1,50886713,50887086,374,48,*,3.41507893954969E-06,8.18549877302153E-05,0.627113754471046,CDS.DMRTA2/exon.DMRTA2,cADN and SSL specific markers
221,chr2,40678563,40678864,302,18,*,3.41507893954969E-06,8.18549877302153E-05,0.704417327706575,intron.SLC8A1,cADN and SSL specific markers
222,chr13,112758412,112758718,307,25,*,3.41507893954969E-06,8.18549877302153E-05,0.607855772773925,1to5kb.NA,cADN and SSL specific markers
223,chr21,28339705,28340371,667,44,*,3.41507893954969E-06,8.18549877302153E-05,0.560446727685756,promoter.ADAMTS5,cADN and SSL specific markers
224,chr12,128850404,128850754,351,23,*,3.41507893954969E-06,8.18549877302153E-05,0.540273464233592,intron.TMEM132C,cADN and SSL specific markers
225,chr4,185937308,185937849,542,36,*,3.41507893954969E-06,8.18549877302153E-05,0.501570694603017,1to5kb.HELT,cADN and SSL specific markers
226,chr8,67874889,67875713,825,58,*,3.41507893954969E-06,8.18549877302153E-05,0.634289589230876,promoter.TCF24,cADN and SSL specific markers
227,chr7,1272387,1272799,413,54,*,3.41507893954969E-06,8.18549877302153E-05,0.621023482937447,promoter.UNCX/CDS.UNCX/exon.UNCX,cADN and SSL specific markers
228,chr11,88241492,88242656,1165,109,*,3.41507893954969E-06,8.18549877302153E-05,0.545878281153747,CDS.GRM5/exon.GRM5-AS1/exon.GRM5/intron.GRM5-AS1/3UTR.GRM5,cADN and SSL specific markers
229,chr2,213401056,213402212,1157,65,*,3.41507893954969E-06,8.18549877302153E-05,0.623362159248359,intron.ERBB4,cADN and SSL specific markers
230,chr17,32907636,32908351,716,70,*,3.41507893954969E-06,8.18549877302153E-05,0.58171034792851,promoter.TMEM132E/1to5kb.C17orf102/CDS.TMEM132E/5UTR.TMEM132E/exon.TMEM132E/intron.TMEM132E,cADN and SSL specific markers
231,chr6,87646738,87647706,969,66,*,3.41507893954969E-06,8.18549877302153E-05,0.518187920540556,promoter.HTR1E/5UTR.HTR1E/exon.HTR1E/intron.HTR1E,cADN and SSL specific markers
232,chr6,151562303,151562777,475,33,*,3.41507893954969E-06,8.18549877302153E-05,0.625945846367544,intron.AKAP12,cADN and SSL specific markers
233,chr10,131766322,131766561,240,22,*,3.41507893954969E-06,8.18549877302153E-05,0.517233774000364,1to5kb.EBF3,cADN and SSL specific markers
234,chr2,149633568,149633760,193,15,*,3.41507893954969E-06,8.18549877302153E-05,0.691822709497868,intron.KIF5C,cADN and SSL specific markers
235,chr20,982597,982912,316,37,*,3.41507893954969E-06,8.18549877302153E-05,0.603847813166585,promoter.RSPO4/CDS.RSPO4/5UTR.RSPO4/exon.RSPO4/intron.RSPO4,cADN and SSL specific markers
236,chr8,72755486,72756341,856,63,*,3.41507893954969E-06,8.18549877302153E-05,0.68477456764884,promoter.MSC-AS1/CDS.MSC/exon.MSC-AS1/exon.MSC/intron.MSC-AS1/intron.MSC,cADN and SSL specific markers
237,chr5,172671466,172671823,358,34,*,3.41507893954969E-06,8.18549877302153E-05,0.508812022353178,intergenic.NA,cADN and SSL specific markers
238,chr2,45155567,45156302,736,67,*,3.41507893954969E-06,8.18549877302153E-05,0.650383663583581,intergenic.NA,cADN and SSL specific markers
239,chr17,26699368,26699601,234,30,*,3.41507893954969E-06,8.18549877302153E-05,0.516621715307725,1to5kb.VTN/CDS.SARM1/exon.SARM1/intron.SARM1,cADN and SSL specific markers
240,chr12,31079362,31079694,333,39,*,3.41507893954969E-06,8.18549877302153E-05,0.592665990018402,promoter.TSPAN11/5UTR.TSPAN11/exon.TSPAN11,cADN and SSL specific markers
241,chr2,131721586,131721866,281,41,*,3.41507893954969E-06,8.18549877302153E-05,0.547480379455923,intron.ARHGEF4,cADN and SSL specific markers
242,chr17,37381216,37381539,324,43,*,3.41507893954969E-06,8.18549877302153E-05,0.689682964694605,intron.STAC2,cADN and SSL specific markers
243,chr11,79149691,79150534,844,46,*,3.41507893954969E-06,8.18549877302153E-05,0.659734665347879,intron.TENM4,cADN and SSL specific markers
244,chr9,96716427,96717138,712,56,*,3.41507893954969E-06,8.18549877302153E-05,0.567377538734528,promoter.BARX1/1to5kb.BARX1/intron.BARX1,cADN and SSL specific markers
245,chr22,25678835,25679363,529,60,*,3.41507893954969E-06,8.18549877302153E-05,0.562950500585778,promoter.NA/exon.NA/intron.NA,cADN and SSL specific markers
246,chr15,28352267,28352671,405,32,*,3.41507893954969E-06,8.18549877302153E-05,0.689487596908852,intergenic.NA,cADN and SSL specific markers
247,chr16,54967607,54967857,251,17,*,3.41507893954969E-06,8.18549877302153E-05,0.592387013898514,1to5kb.CRNDE/CDS.IRX5/exon.IRX5/3UTR.IRX5,cADN and SSL specific markers
248,chr17,8230097,8230870,774,59,*,3.41507893954969E-06,8.18549877302153E-05,0.538625518402243,intergenic.NA,cADN and SSL specific markers
249,chr7,752058,752238,181,35,*,3.41507893954969E-06,8.18549877302153E-05,0.800232228057083,promoter.PRKAR1B/5UTR.PRKAR1B/exon.PRKAR1B/intron.PRKAR1B,cADN and SSL specific markers
250,chr9,137533845,137534086,242,36,*,3.41507893954969E-06,8.18549877302153E-05,0.642558967206381,CDS.COL5A1/5UTR.COL5A1/exon.COL5A1,cADN and SSL specific markers
251,chr1,18434470,18434713,244,38,*,3.41507893954969E-06,8.18549877302153E-05,0.719437297466319,CDS.IGSF21/5UTR.IGSF21/exon.IGSF21/intron.IGSF21,cADN and SSL specific markers
252,chr10,7453779,7454063,285,25,*,3.41507893954969E-06,8.18549877302153E-05,0.636067096588597,promoter.SFMBT2/1to5kb.SFMBT2,cADN and SSL specific markers
253,chr8,77594676,77594859,184,31,*,3.41507893954969E-06,8.18549877302153E-05,0.563610924258976,intron.ZFHX4/intron.ZFHX4-AS1,cADN and SSL specific markers
254,chr15,83775837,83776512,676,84,*,3.41507893954969E-06,8.18549877302153E-05,0.736922605448681,promoter.TM6SF1/CDS.TM6SF1/5UTR.TM6SF1/exon.TM6SF1,cADN and SSL specific markers
255,chr21,28339262,28339540,279,21,*,3.41507893954969E-06,8.18549877302153E-05,0.734104016286882,promoter.ADAMTS5/5UTR.ADAMTS5/exon.ADAMTS5,cADN and SSL specific markers
256,chr19,23299555,23300340,786,45,*,3.41507893954969E-06,8.18549877302153E-05,0.620669124908799,promoter.ZNF730/CDS.ZNF730/5UTR.ZNF730/exon.ZNF730/intron.ZNF730,cADN and SSL specific markers
257,chr3,96533424,96534141,718,47,*,3.41507893954969E-06,8.18549877302153E-05,0.599599999331671,promoter.EPHA6/CDS.EPHA6/5UTR.EPHA6/exon.EPHA6/intron.EPHA6,cADN and SSL specific markers
258,chr4,779413,779568,156,11,*,3.41507893954969E-06,8.18549877302153E-05,0.772475210039193,1to5kb.LOC100129917/exon.CPLX1/3UTR.CPLX1,cADN and SSL specific markers
259,chr17,72347925,72348321,397,54,*,3.41507893954969E-06,8.18549877302153E-05,0.544373097416003,CDS.KIF19/exon.KIF19/intron.KIF19,cADN and SSL specific markers
260,chr11,132934060,132934594,535,34,*,3.41507893954969E-06,8.18549877302153E-05,0.679951867699884,intron.OPCML,cADN and SSL specific markers
261,chr17,59488045,59488325,281,25,*,3.41507893954969E-06,8.18549877302153E-05,0.544880854878952,promoter.C17orf82/1to5kb.C17orf82,cADN and SSL specific markers
262,chr2,182548617,182548820,204,18,*,3.41507893954969E-06,8.18549877302153E-05,0.749289325541615,1to5kb.CERKL/1to5kb.NEUROD1,cADN and SSL specific markers
263,chr15,83316540,83317061,522,63,*,3.41507893954969E-06,8.18549877302153E-05,0.619028958359252,promoter.CPEB1/CDS.CPEB1/5UTR.CPEB1/exon.CPEB1-AS1/exon.CPEB1/intron.CPEB1,cADN and SSL specific markers
264,chr11,18813092,18813328,237,37,*,3.41507893954969E-06,8.18549877302153E-05,0.822226206203894,5UTR.PTPN5/exon.PTPN5,cADN and SSL specific markers
265,chr10,131766813,131767256,444,32,*,3.41507893954969E-06,8.18549877302153E-05,0.680308333739536,1to5kb.EBF3/intergenic.NA,cADN and SSL specific markers
266,chr8,65710718,65711721,1004,84,*,3.41507893954969E-06,8.18549877302153E-05,0.615975712872257,promoter.CYP7B1/CDS.CYP7B1/5UTR.CYP7B1/exon.CYP7B1/intron.CYP7B1,cADN and SSL specific markers
267,chr6,84562677,84563228,552,50,*,3.41507893954969E-06,8.18549877302153E-05,0.594517433634985,promoter.RIPPLY2/CDS.RIPPLY2/5UTR.RIPPLY2/exon.RIPPLY2,cADN and SSL specific markers
268,chr1,165324321,165325169,849,58,*,3.41507893954969E-06,8.18549877302153E-05,0.562612627829886,CDS.LMX1A/5UTR.LMX1A/exon.LMX1A/intron.LMX1A,cADN and SSL specific markers
269,chr13,102068541,102068763,223,34,*,3.41507893954969E-06,8.18549877302153E-05,0.632298828744267,5UTR.NALCN/exon.NALCN/intron.NALCN,cADN and SSL specific markers
270,chr4,174448148,174448951,804,45,*,3.41507893954969E-06,8.18549877302153E-05,0.503915122061056,1to5kb.HAND2-AS1/CDS.HAND2/exon.HAND2/intron.HAND2/3UTR.HAND2,cADN and SSL specific markers
271,chr10,118031547,118031779,233,23,*,3.41507893954969E-06,8.18549877302153E-05,0.789500862962354,5UTR.GFRA1/exon.GFRA1,cADN and SSL specific markers
272,chr20,23031145,23031346,202,15,*,3.41507893954969E-06,8.18549877302153E-05,0.772852609533726,promoter.THBD/1to5kb.THBD/1to5kb.NA,cADN and SSL specific markers
273,chr7,155255053,155255310,258,20,*,3.41507893954969E-06,8.18549877302153E-05,0.580601133026798,CDS.EN2/exon.EN2/intron.EN2,cADN and SSL specific markers
274,chr20,4803086,4803686,601,48,*,3.41507893954969E-06,8.18549877302153E-05,0.648633664830407,intron.RASSF2,cADN and SSL specific markers
275,chr7,88388910,88389433,524,44,*,3.41507893954969E-06,8.18549877302153E-05,0.631873680232481,CDS.ZNF804B/5UTR.ZNF804B/exon.ZNF804B/intron.ZNF804B,cADN and SSL specific markers
276,chr10,13933412,13933774,363,33,*,3.41507893954969E-06,8.18549877302153E-05,0.695823081697091,intron.FRMD4A,cADN and SSL specific markers
277,chr6,127440347,127440941,595,58,*,3.41507893954969E-06,8.18549877302153E-05,0.777000950586285,CDS.RSPO3/exon.RSPO3/exon.NA/intron.RSPO3/intron.NA,cADN and SSL specific markers
278,chr6,127439931,127440230,300,34,*,3.41507893954969E-06,8.18549877302153E-05,0.698078819588652,promoter.RSPO3/5UTR.RSPO3/exon.RSPO3/intron.NA,cADN and SSL specific markers
279,chr5,1931251,1931893,643,61,*,3.41507893954969E-06,8.18549877302153E-05,0.581942432077644,intergenic.NA,cADN and SSL specific markers
280,chr8,97157350,97158052,703,69,*,3.41507893954969E-06,8.18549877302153E-05,0.643653103625734,CDS.GDF6/exon.GDF6/intron.GDF6,cADN and SSL specific markers
281,chr14,37127671,37128101,431,36,*,3.41507893954969E-06,8.18549877302153E-05,0.529282203006385,intron.PAX9,cADN and SSL specific markers
282,chr10,119000861,119001692,832,75,*,3.41507893954969E-06,8.18549877302153E-05,0.5332433312339,CDS.SLC18A2/5UTR.SLC18A2/exon.SLC18A2/intron.SLC18A2,cADN and SSL specific markers
283,chr19,37406790,37407614,825,58,*,3.41507893954969E-06,8.18549877302153E-05,0.684816271882144,promoter.ZNF568/promoter.ZNF829/CDS.ZNF829/5UTR.ZNF568/5UTR.ZNF829/exon.ZNF568/exon.ZNF829/intron.ZNF568/intron.ZNF829,cADN and SSL specific markers
284,chr13,88323914,88324236,323,31,*,3.41507893954969E-06,8.18549877302153E-05,0.670604551632715,promoter.SLITRK5/promoter.MIR4500HG/1to5kb.NA/1to5kb.MIR4500HG,cADN and SSL specific markers
285,chr6,29521111,29521897,787,82,*,3.41507893954969E-06,8.18549877302153E-05,0.591261579823578,intergenic.NA,cADN and SSL specific markers
286,chr20,1784244,1784519,276,35,*,3.41507893954969E-06,8.18549877302153E-05,0.756432022323368,intergenic.NA,cADN and SSL specific markers
287,chr10,102987852,102988602,751,63,*,3.41507893954969E-06,8.18549877302153E-05,0.533247208898458,promoter.LBX1-AS1/1to5kb.LBX1-AS1/CDS.LBX1/5UTR.LBX1/exon.LBX1/intron.LBX1,cADN and SSL specific markers
288,chr20,24451327,24452036,710,54,*,3.41507893954969E-06,8.18549877302153E-05,0.5425692328327,intron.SYNDIG1,cADN and SSL specific markers
289,chr3,132756867,132757524,658,57,*,3.41507893954969E-06,8.18549877302153E-05,0.501325728082159,promoter.TMEM108/5UTR.TMEM108/exon.TMEM108/intron.TMEM108,cADN and SSL specific markers
290,chr11,30605970,30606265,296,26,*,3.41507893954969E-06,8.18549877302153E-05,0.655208224123295,promoter.MPPED2/1to5kb.MPPED2/intron.MPPED2,cADN and SSL specific markers
291,chr19,54023869,54024922,1054,65,*,3.41507893954969E-06,8.18549877302153E-05,0.651769182213595,promoter.ZNF331/5UTR.ZNF331/exon.ZNF331,cADN and SSL specific markers
292,chr18,25757298,25757820,523,73,*,3.41507893954969E-06,8.18549877302153E-05,0.698838428330705,promoter.CDH2/5UTR.CDH2/exon.CDH2,cADN and SSL specific markers
293,chr7,69062460,69062743,284,31,*,3.41507893954969E-06,8.18549877302153E-05,0.714108225481862,1to5kb.AUTS2,cADN and SSL specific markers
294,chr16,3232977,3233213,237,29,*,3.41507893954969E-06,8.18549877302153E-05,0.556962831749916,promoter.NA/1to5kb.NA,cADN and SSL specific markers
295,chr5,1878431,1878812,382,47,*,3.41507893954969E-06,8.18549877302153E-05,0.556453314884877,CDS.IRX4/exon.IRX4,cADN and SSL specific markers
296,chr10,7450250,7450580,331,28,*,3.41507893954969E-06,8.18549877302153E-05,0.812638754544281,intron.SFMBT2,cADN and SSL specific markers
297,chr5,178017142,178018082,941,83,*,3.41507893954969E-06,8.18549877302153E-05,0.64364815896529,promoter.COL23A1/CDS.COL23A1/5UTR.COL23A1/exon.COL23A1,cADN and SSL specific markers
298,chr6,50787639,50788083,445,38,*,3.41507893954969E-06,8.18549877302153E-05,0.549205828410517,intron.TFAP2B,cADN and SSL specific markers
299,chr7,30721743,30722467,725,74,*,3.41507893954969E-06,8.18549877302153E-05,0.634954690625857,promoter.CRHR2/CDS.CRHR2/5UTR.CRHR2/exon.CRHR2/intron.CRHR2,cADN and SSL specific markers
300,chr8,67344498,67345106,609,55,*,3.41507893954969E-06,8.18549877302153E-05,0.696159320057844,promoter.ADHFE1/1to5kb.RRS1-AS1/CDS.ADHFE1/5UTR.ADHFE1/exon.ADHFE1/intron.ADHFE1,cADN and SSL specific markers
